,joueur,poste,saison,occurence_titre,occurence_texte,tracé_titre
0,Abendanon,Arrière,2008-2009,0,0,1
1,Abendanon,Arrière,2009-2010,0,0,1
2,Abendanon,Arrière,2010-2011,0,0,1
3,Abendanon,Arrière,2011-2012,0,0,1
4,Abendanon,Arrière,2012-2013,0,0,1
5,Abendanon,Arrière,2013-2014,2,9,21
6,Abendanon,Arrière,2014-2015,1,106,11
7,Abendanon,Arrière,2015-2016,8,125,81
8,Abendanon,Arrière,2016-2017,3,97,31
9,Abendanon,Arrière,2017-2018,2,88,21
10,Abendanon,Arrière,2018-2019,4,47,41
11,Abendanon,Arrière,2019-2020,2,51,21
12,Abendanon,Arrière,2020-2021,0,0,1
13,Abendanon,Arrière,2021-2022,0,0,1
14,Audebert,Avant,2008-2009,0,76,1
15,Audebert,Avant,2009-2010,0,69,1
16,Audebert,Avant,2010-2011,1,53,11
17,Audebert,Avant,2011-2012,1,51,11
18,Audebert,Avant,2012-2013,0,5,1
19,Audebert,Avant,2013-2014,0,5,1
20,Audebert,Avant,2014-2015,0,1,1
21,Audebert,Avant,2015-2016,0,3,1
22,Audebert,Avant,2016-2017,0,0,1
23,Audebert,Avant,2017-2018,0,2,1
24,Audebert,Avant,2018-2019,0,0,1
25,Audebert,Avant,2019-2020,0,1,1
26,Audebert,Avant,2020-2021,0,0,1
27,Audebert,Avant,2021-2022,0,0,1
28,Baby,Arrière,2008-2009,2,98,21
29,Baby,Arrière,2009-2010,3,68,31
30,Baby,Arrière,2010-2011,1,54,11
31,Baby,Arrière,2011-2012,0,3,1
32,Baby,Arrière,2012-2013,0,6,1
33,Baby,Arrière,2013-2014,0,5,1
34,Baby,Arrière,2014-2015,0,2,1
35,Baby,Arrière,2015-2016,0,2,1
36,Baby,Arrière,2016-2017,0,0,1
37,Baby,Arrière,2017-2018,0,2,1
38,Baby,Arrière,2018-2019,0,0,1
39,Baby,Arrière,2019-2020,0,1,1
40,Baby,Arrière,2020-2021,0,1,1
41,Baby,Arrière,2021-2022,0,2,1
42,Bardy,Avant,2008-2009,0,4,1
43,Bardy,Avant,2009-2010,0,41,1
44,Bardy,Avant,2010-2011,2,36,21
45,Bardy,Avant,2011-2012,2,69,21
46,Bardy,Avant,2012-2013,3,90,31
47,Bardy,Avant,2013-2014,2,99,21
48,Bardy,Avant,2014-2015,6,98,61
49,Bardy,Avant,2015-2016,3,57,31
50,Bardy,Avant,2016-2017,3,49,31
51,Bardy,Avant,2017-2018,0,3,1
52,Bardy,Avant,2018-2019,0,3,1
53,Bardy,Avant,2019-2020,0,1,1
54,Bardy,Avant,2020-2021,0,1,1
55,Bardy,Avant,2021-2022,0,0,1
56,Barraque,Arrière,2008-2009,0,0,1
57,Barraque,Arrière,2009-2010,0,0,1
58,Barraque,Arrière,2010-2011,0,7,1
59,Barraque,Arrière,2011-2012,0,2,1
60,Barraque,Arrière,2012-2013,0,4,1
61,Barraque,Arrière,2013-2014,0,2,1
62,Barraque,Arrière,2014-2015,0,2,1
63,Barraque,Arrière,2015-2016,0,1,1
64,Barraque,Arrière,2016-2017,0,0,1
65,Barraque,Arrière,2017-2018,0,1,1
66,Barraque,Arrière,2018-2019,0,0,1
67,Barraque,Arrière,2019-2020,0,0,1
68,Barraque,Arrière,2020-2021,6,69,61
69,Barraque,Arrière,2021-2022,5,40,51
70,Baï,Arrière,2008-2009,0,59,1
71,Baï,Arrière,2009-2010,0,72,1
72,Baï,Arrière,2010-2011,0,3,1
73,Baï,Arrière,2011-2012,0,8,1
74,Baï,Arrière,2012-2013,0,7,1
75,Baï,Arrière,2013-2014,0,2,1
76,Baï,Arrière,2014-2015,0,1,1
77,Baï,Arrière,2015-2016,0,0,1
78,Baï,Arrière,2016-2017,0,1,1
79,Baï,Arrière,2017-2018,0,1,1
80,Baï,Arrière,2018-2019,0,0,1
81,Baï,Arrière,2019-2020,0,0,1
82,Baï,Arrière,2020-2021,0,0,1
83,Baï,Arrière,2021-2022,0,0,1
84,Beheregaray,Avant,2008-2009,0,0,1
85,Beheregaray,Avant,2009-2010,0,0,1
86,Beheregaray,Avant,2010-2011,0,0,1
87,Beheregaray,Avant,2011-2012,0,0,1
88,Beheregaray,Avant,2012-2013,0,0,1
89,Beheregaray,Avant,2013-2014,0,1,1
90,Beheregaray,Avant,2014-2015,0,1,1
91,Beheregaray,Avant,2015-2016,0,4,1
92,Beheregaray,Avant,2016-2017,3,45,31
